,UserID,Age,Clothing ID,Pic_path,Rating,Recommended IND,Positive Feedback Count,Class Name
6532,B,42,305,C:\Users\amit hayoun\Desktop\reant_anyway_data\Shorts\SH_14.jpg,5,0,0,Shorts
5571,C,36,102,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_11.jpg,5,1,0,Dresses
4113,D,28,115,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_5.jpg,5,1,0,Dresses
4312,B,42,109,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_18.jpg,5,1,0,Dresses
291,C,36,110,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_19.jpg,4,1,0,Dresses
2357,B,42,101,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_10.jpg,4,1,1,Dresses
7901,A,32,220,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\b_reserve.jpg,5,1,3,Blouses
5485,E,25,108,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_17.jpg,4,1,0,Dresses
852,C,36,109,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_18.jpg,5,1,0,Dresses
6576,B,42,320,,5,1,4,Shorts
8985,C,36,210,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_19.jpg,3,1,6,Blouses
8535,D,28,203,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_12.jpg,5,1,1,Blouses
10058,B,42,205,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_14.jpg,3,1,1,Blouses
4700,A,32,116,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_6.jpg,4,0,51,Dresses
6733,C,36,401,C:\Users\amit hayoun\Desktop\reant_anyway_data\Skirts\S_10.jpg,5,1,0,Skirts
3460,C,36,115,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_5.jpg,5,1,0,Dresses
7550,C,36,408,C:\Users\amit hayoun\Desktop\reant_anyway_data\Skirts\S_18.jpg,2,0,9,Skirts
434,A,32,119,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_9.jpg,4,1,10,Dresses
3145,C,36,117,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_7.jpg,5,1,0,Dresses
6701,E,25,418,,3,0,0,Skirts
1135,E,25,113,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_3.jpg,5,1,0,Dresses
5288,C,36,109,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_18.jpg,5,1,1,Dresses
4619,D,28,114,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_4.jpg,2,0,0,Dresses
10126,A,32,218,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_8.jpg,5,1,0,Blouses
4805,C,36,110,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_19.jpg,5,1,5,Dresses
683,B,42,107,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_16.jpg,5,1,0,Dresses
242,C,36,120,,5,1,3,Dresses
6696,E,25,409,C:\Users\amit hayoun\Desktop\reant_anyway_data\Skirts\S_19.jpg,5,1,0,Skirts
1142,C,36,104,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_13.jpg,5,1,0,Dresses
5279,B,42,119,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_9.jpg,4,1,5,Dresses
2641,E,25,118,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_8.jpg,1,0,9,Dresses
2043,E,25,103,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_12.jpg,1,0,0,Dresses
4572,C,36,106,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_15.jpg,4,1,1,Dresses
857,B,42,120,,3,1,1,Dresses
10596,B,42,206,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_15.jpg,5,1,2,Blouses
2483,A,32,107,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_16.jpg,5,1,1,Dresses
5805,A,32,105,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_14.jpg,5,1,1,Dresses
3227,E,25,118,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_8.jpg,3,0,0,Dresses
6710,D,28,411,C:\Users\amit hayoun\Desktop\reant_anyway_data\Skirts\S_20.jpg,5,1,0,Skirts
4974,B,42,115,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_5.jpg,5,1,1,Dresses
9688,C,36,218,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_8.jpg,2,0,2,Blouses
7340,B,42,413,C:\Users\amit hayoun\Desktop\reant_anyway_data\Skirts\S_5.jpg,5,1,0,Skirts
7658,E,25,201,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_10.jpg,4,1,0,Blouses
5912,E,25,108,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_17.jpg,4,1,0,Dresses
2103,A,32,103,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_12.jpg,5,1,0,Dresses
9171,E,25,200,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_1.jpg,5,1,0,Blouses
3146,D,28,112,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_20.jpg,4,1,0,Dresses
3469,E,25,110,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_19.jpg,4,1,0,Dresses
8896,E,25,216,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_6.jpg,5,1,1,Blouses
8591,E,25,223,,1,0,0,Blouses
9564,B,42,203,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_12.jpg,5,1,0,Blouses
2163,C,36,100,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_1.jpg,4,1,4,Dresses
1194,E,25,103,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_12.jpg,4,1,2,Dresses
1771,D,28,119,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_9.jpg,3,0,0,Dresses
1354,D,28,109,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_18.jpg,4,1,2,Dresses
8548,B,42,216,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_6.jpg,4,1,0,Blouses
8027,E,25,216,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_6.jpg,5,1,0,Blouses
1925,A,32,106,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_15.jpg,2,0,6,Dresses
9625,A,32,211,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_2.jpg,3,0,1,Blouses
5784,A,32,112,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_20.jpg,3,0,16,Dresses
8139,A,32,221,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\b_reserve._3jpg.jpg,2,0,3,Blouses
7293,D,28,404,C:\Users\amit hayoun\Desktop\reant_anyway_data\Skirts\S_13.jpg,3,1,0,Skirts
9740,A,32,205,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_14.jpg,5,1,2,Blouses
1864,A,32,112,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_20.jpg,5,1,0,Dresses
10122,E,25,201,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_10.jpg,5,1,3,Blouses
8627,C,36,221,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\b_reserve._3jpg.jpg,5,1,0,Blouses
4662,C,36,114,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_4.jpg,1,0,1,Dresses
2608,C,36,106,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_15.jpg,5,1,0,Dresses
7383,C,36,411,C:\Users\amit hayoun\Desktop\reant_anyway_data\Skirts\S_20.jpg,5,1,1,Skirts
6699,C,36,402,C:\Users\amit hayoun\Desktop\reant_anyway_data\Skirts\S_11.jpg,5,1,0,Skirts
170,E,25,103,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_12.jpg,5,1,5,Dresses
676,A,32,110,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_19.jpg,5,1,2,Dresses
7579,D,28,415,C:\Users\amit hayoun\Desktop\reant_anyway_data\Skirts\S_7.jpg,3,1,1,Skirts
1944,D,28,115,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_5.jpg,5,1,1,Dresses
8103,C,36,221,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\b_reserve._3jpg.jpg,2,0,2,Blouses
6318,C,36,109,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_18.jpg,5,1,22,Dresses
1629,D,28,116,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_6.jpg,4,1,0,Dresses
1364,C,36,108,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_17.jpg,5,1,11,Dresses
8492,D,28,220,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\b_reserve.jpg,5,1,0,Blouses
440,E,25,119,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_9.jpg,5,1,5,Dresses
2423,A,32,113,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_3.jpg,5,1,0,Dresses
2955,E,25,106,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_15.jpg,1,0,16,Dresses
7355,B,42,415,C:\Users\amit hayoun\Desktop\reant_anyway_data\Skirts\S_7.jpg,5,1,0,Skirts
654,D,28,105,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_14.jpg,3,1,2,Dresses
51,E,25,101,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_10.jpg,5,1,0,Dresses
1690,C,36,117,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_7.jpg,5,1,0,Dresses
8352,E,25,216,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_6.jpg,2,0,2,Blouses
6921,B,42,415,C:\Users\amit hayoun\Desktop\reant_anyway_data\Skirts\S_7.jpg,4,1,0,Skirts
8367,B,42,202,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_11.jpg,5,1,1,Blouses
6135,A,32,118,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_8.jpg,5,1,9,Dresses
1029,D,28,105,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_14.jpg,4,1,0,Dresses
4076,C,36,107,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_16.jpg,2,0,7,Dresses
7174,D,28,412,C:\Users\amit hayoun\Desktop\reant_anyway_data\Skirts\S_3.jpg,5,1,0,Skirts
1073,E,25,116,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_6.jpg,5,1,0,Dresses
760,B,42,105,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_14.jpg,3,0,18,Dresses
4655,D,28,106,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_15.jpg,5,1,1,Dresses
9327,A,32,218,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_8.jpg,4,1,8,Blouses
1624,C,36,110,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_19.jpg,4,1,11,Dresses
3235,A,32,104,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_13.jpg,1,0,0,Dresses
9704,A,32,219,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_9.jpg,5,1,0,Blouses
4550,A,32,103,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_12.jpg,3,0,0,Dresses
9447,C,36,217,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_7.jpg,5,1,0,Blouses
3066,E,25,116,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_6.jpg,2,0,5,Dresses
2967,C,36,100,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_1.jpg,5,1,0,Dresses
1908,B,42,119,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_9.jpg,4,1,0,Dresses
9115,C,36,202,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_11.jpg,4,1,4,Blouses
3467,D,28,110,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_19.jpg,3,1,0,Dresses
6705,B,42,413,C:\Users\amit hayoun\Desktop\reant_anyway_data\Skirts\S_5.jpg,5,1,1,Skirts
6819,C,36,406,C:\Users\amit hayoun\Desktop\reant_anyway_data\Skirts\S_16.jpg,4,1,0,Skirts
8833,D,28,203,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_12.jpg,5,1,3,Blouses
10377,C,36,203,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_12.jpg,5,1,0,Blouses
7551,C,36,412,C:\Users\amit hayoun\Desktop\reant_anyway_data\Skirts\S_3.jpg,5,1,3,Skirts
3590,E,25,110,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_19.jpg,2,1,2,Dresses
7604,B,42,222,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\b_reserve_2.jpg,5,1,0,Blouses
861,D,28,107,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_16.jpg,4,1,1,Dresses
188,E,25,117,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_7.jpg,5,1,0,Dresses
1106,E,25,117,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_7.jpg,5,1,0,Dresses
7397,E,25,417,C:\Users\amit hayoun\Desktop\reant_anyway_data\Skirts\S_9.jpg,4,1,2,Skirts
176,D,28,102,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_11.jpg,5,1,0,Dresses
10343,E,25,222,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\b_reserve_2.jpg,4,1,1,Blouses
5240,D,28,101,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_10.jpg,4,1,15,Dresses
3427,A,32,107,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_16.jpg,4,1,3,Dresses
3221,B,42,112,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_20.jpg,5,1,10,Dresses
1507,A,32,120,,5,1,0,Dresses
4674,B,42,112,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_20.jpg,5,1,1,Dresses
1246,E,25,117,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_7.jpg,4,1,0,Dresses
7133,C,36,415,C:\Users\amit hayoun\Desktop\reant_anyway_data\Skirts\S_7.jpg,5,1,0,Skirts
4925,D,28,109,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_18.jpg,2,0,6,Dresses
10408,C,36,212,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_20.jpg,5,1,1,Blouses
4337,A,32,112,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_20.jpg,5,1,1,Dresses
9538,A,32,222,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\b_reserve_2.jpg,3,0,0,Blouses
977,A,32,103,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_12.jpg,5,1,0,Dresses
4860,C,36,118,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_8.jpg,4,1,0,Dresses
6614,B,42,311,C:\Users\amit hayoun\Desktop\reant_anyway_data\Shorts\SH_2.jpg,5,1,2,Shorts
5611,E,25,118,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_8.jpg,2,0,0,Dresses
1454,A,32,112,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_20.jpg,5,1,3,Dresses
2607,C,36,119,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_9.jpg,4,1,3,Dresses
10227,C,36,217,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_7.jpg,4,1,0,Blouses
8615,D,28,220,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\b_reserve.jpg,5,1,0,Blouses
7228,E,25,401,C:\Users\amit hayoun\Desktop\reant_anyway_data\Skirts\S_10.jpg,5,1,2,Skirts
2425,E,25,101,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_10.jpg,5,1,0,Dresses
4156,C,36,105,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_14.jpg,4,1,11,Dresses
10379,A,32,206,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_15.jpg,1,1,0,Blouses
7707,B,42,212,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_20.jpg,4,1,2,Blouses
914,C,36,115,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_5.jpg,5,1,4,Dresses
2726,D,28,108,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_17.jpg,5,1,1,Dresses
923,A,32,112,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_20.jpg,5,1,1,Dresses
10614,D,28,222,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\b_reserve_2.jpg,3,0,1,Blouses
4586,D,28,114,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_4.jpg,2,0,4,Dresses
45,E,25,112,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_20.jpg,5,1,7,Dresses
6100,C,36,104,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_13.jpg,3,1,0,Dresses
1718,E,25,108,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_17.jpg,5,1,2,Dresses
8023,A,32,209,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_18.jpg,4,1,6,Blouses
8834,B,42,213,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_3.jpg,5,1,3,Blouses
10440,D,28,221,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\b_reserve._3jpg.jpg,5,1,9,Blouses
8861,A,32,202,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_11.jpg,5,1,0,Blouses
7422,B,42,416,C:\Users\amit hayoun\Desktop\reant_anyway_data\Skirts\S_8.jpg,3,0,1,Skirts
2109,A,32,103,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_12.jpg,5,1,31,Dresses
3788,A,32,110,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_19.jpg,4,1,0,Dresses
3156,A,32,103,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_12.jpg,3,0,1,Dresses
438,E,25,104,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_13.jpg,5,1,0,Dresses
404,A,32,112,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_20.jpg,4,1,0,Dresses
5697,D,28,105,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_14.jpg,3,1,1,Dresses
6479,B,42,301,C:\Users\amit hayoun\Desktop\reant_anyway_data\Shorts\SH_10.jpg,5,1,1,Shorts
2932,E,25,105,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_14.jpg,4,1,0,Dresses
9152,B,42,215,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_5.jpg,5,1,0,Blouses
9878,D,28,218,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_8.jpg,5,1,1,Blouses
8722,A,32,207,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_16.jpg,5,1,0,Blouses
6603,E,25,302,C:\Users\amit hayoun\Desktop\reant_anyway_data\Shorts\SH_11.jpg,5,1,0,Shorts
8244,A,32,221,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\b_reserve._3jpg.jpg,4,1,0,Blouses
121,A,32,118,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_8.jpg,3,0,3,Dresses
689,B,42,114,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_4.jpg,5,1,5,Dresses
6975,D,28,414,C:\Users\amit hayoun\Desktop\reant_anyway_data\Skirts\S_6.jpg,5,1,3,Skirts
1077,C,36,106,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_15.jpg,2,0,2,Dresses
1978,D,28,110,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_19.jpg,2,0,1,Dresses
6590,E,25,300,C:\Users\amit hayoun\Desktop\reant_anyway_data\Shorts\SH_1.jpg,5,1,4,Shorts
8066,B,42,204,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_13.jpg,4,1,0,Blouses
3944,D,28,106,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_15.jpg,3,1,2,Dresses
8005,B,42,219,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_9.jpg,5,1,1,Blouses
8201,A,32,209,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_18.jpg,2,0,4,Blouses
5099,C,36,118,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_8.jpg,5,1,0,Dresses
2528,A,32,109,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_18.jpg,5,1,0,Dresses
5144,E,25,113,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_3.jpg,2,0,2,Dresses
9614,C,36,206,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_15.jpg,5,1,0,Blouses
734,D,28,120,,3,0,0,Dresses
2635,D,28,104,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_13.jpg,5,1,0,Dresses
5275,A,32,109,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_18.jpg,3,0,2,Dresses
1811,B,42,101,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_10.jpg,4,1,0,Dresses
6632,A,32,306,C:\Users\amit hayoun\Desktop\reant_anyway_data\Shorts\SH_15.jpg,5,1,0,Shorts
9777,C,36,205,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_14.jpg,5,1,0,Blouses
10527,E,25,215,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_5.jpg,1,0,1,Blouses
4158,C,36,120,,5,1,3,Dresses
2006,B,42,113,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_3.jpg,3,1,0,Dresses
6941,E,25,418,,5,1,4,Skirts
2368,D,28,100,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_1.jpg,3,0,0,Dresses
7925,D,28,220,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\b_reserve.jpg,4,1,1,Blouses
1149,D,28,118,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_8.jpg,5,1,1,Dresses
7510,D,28,410,C:\Users\amit hayoun\Desktop\reant_anyway_data\Skirts\S_2.jpg,5,1,2,Skirts
1869,D,28,101,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_10.jpg,4,1,14,Dresses
5201,C,36,105,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_14.jpg,4,1,1,Dresses
9545,E,25,215,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_5.jpg,4,1,1,Blouses
1249,D,28,105,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_14.jpg,3,0,1,Dresses
3280,B,42,117,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_7.jpg,5,1,1,Dresses
4740,B,42,107,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_16.jpg,3,0,0,Dresses
8629,E,25,213,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_3.jpg,5,1,1,Blouses
4499,A,32,120,,4,1,3,Dresses
10272,B,42,218,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_8.jpg,5,1,0,Blouses
5590,B,42,107,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_16.jpg,4,1,1,Dresses
8781,B,42,208,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_17.jpg,4,1,0,Blouses
7161,B,42,412,C:\Users\amit hayoun\Desktop\reant_anyway_data\Skirts\S_3.jpg,4,1,0,Skirts
7529,C,36,414,C:\Users\amit hayoun\Desktop\reant_anyway_data\Skirts\S_6.jpg,5,1,5,Skirts
4359,A,32,102,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_11.jpg,5,1,1,Dresses
4111,E,25,113,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_3.jpg,4,1,0,Dresses
9211,E,25,217,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_7.jpg,1,0,2,Blouses
2477,A,32,112,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_20.jpg,5,1,2,Dresses
3698,B,42,115,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_5.jpg,5,1,2,Dresses
4055,A,32,104,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_13.jpg,3,1,7,Dresses
1314,C,36,111,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_2.jpg,3,0,18,Dresses
